espn_id,name,position,season,college_team,stat_category,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,longPassing,sacks,QBRating
4428811,Xavier Weaver,WR,2023,colorado-buffaloes,receiving,68,908,13.4,4,48,,,,,,,,,,,,,,,
4428811,Xavier Weaver,WR,2019,south-florida-bulls,rushing,,,,,,1,4,4.0,0,4,,,,,,,,,,
4428811,Xavier Weaver,WR,2021,south-florida-bulls,rushing,,,,,,1,3,3.0,1,3,,,,,,,,,,
4428811,Xavier Weaver,WR,2022,south-florida-bulls,rushing,,,,,,1,1,1.0,0,1,,,,,,,,,,
4428811,Xavier Weaver,WR,2023,colorado-buffaloes,rushing,,,,,,2,15,7.5,2,14,,,,,,,,,,
4428811,Xavier Weaver,WR,2021,south-florida-bulls,passing,,,,,,,,,,,0,1,0.0,0,0.0,0,0,0,0,0.0
4360761,Michael Wilson,WR,2018,stanford-cardinal,receiving,14,126,9.0,1,26,,,,,,,,,,,,,,,
4360761,Michael Wilson,WR,2019,stanford-cardinal,receiving,56,672,12.0,5,47,,,,,,,,,,,,,,,
4360761,Michael Wilson,WR,2020,stanford-cardinal,receiving,19,261,13.7,1,38,,,,,,,,,,,,,,,
4360761,Michael Wilson,WR,2021,stanford-cardinal,receiving,19,185,9.7,0,19,,,,,,,,,,,,,,,
4360761,Michael Wilson,WR,2022,stanford-cardinal,receiving,26,418,16.1,4,78,,,,,,,,,,,,,,,
4360761,Michael Wilson,WR,2018,stanford-cardinal,rushing,,,,,,2,8,4.0,0,9,,,,,,,,,,
4360761,Michael Wilson,WR,2022,stanford-cardinal,rushing,,,,,,4,47,11.8,0,18,,,,,,,,,,
3886809,Andre Baccellia,WR,2016,washington-huskies,receiving,7,98,14.0,1,36,,,,,,,,,,,,,,,
3886809,Andre Baccellia,WR,2017,washington-huskies,receiving,16,187,11.7,0,31,,,,,,,,,,,,,,,
3886809,Andre Baccellia,WR,2018,washington-huskies,receiving,55,584,10.6,0,48,,,,,,,,,,,,,,,
3886809,Andre Baccellia,WR,2019,washington-huskies,receiving,29,314,10.8,4,50,,,,,,,,,,,,,,,
3886809,Andre Baccellia,WR,2016,washington-huskies,rushing,,,,,,2,16,8.0,0,9,,,,,,,,,,
3886809,Andre Baccellia,WR,2017,washington-huskies,rushing,,,,,,2,18,9.0,0,9,,,,,,,,,,
3886809,Andre Baccellia,WR,2018,washington-huskies,rushing,,,,,,2,50,25.0,0,37,,,,,,,,,,
3886809,Andre Baccellia,WR,2019,washington-huskies,rushing,,,,,,4,35,8.8,1,12,,,,,,,,,,
3886809,Andre Baccellia,WR,2017,washington-huskies,passing,,,,,,,,,,,1,1,100.0,52,52.0,0,0,52,0,536.8
3886809,Andre Baccellia,WR,2018,washington-huskies,passing,,,,,,,,,,,1,2,50.0,14,7.0,0,1,14,0,8.8
4429275,Trey Benson,RB,2021,oregon-ducks,rushing,,,,,,6,22,3.7,1,9,,,,,,,,,,
4429275,Trey Benson,RB,2022,florida-state-seminoles,rushing,,,,,,154,990,6.4,9,45,,,,,,,,,,
4429275,Trey Benson,RB,2023,florida-state-seminoles,rushing,,,,,,156,905,5.8,14,85,,,,,,,,,,
4429275,Trey Benson,RB,2022,florida-state-seminoles,receiving,13,144,11.1,0,34,,,,,,,,,,,,,,,
4429275,Trey Benson,RB,2023,florida-state-seminoles,receiving,20,227,11.4,1,80,,,,,,,,,,,,,,,
4037235,Greg Dortch,WR,2017,wake-forest-demon-deacons,receiving,53,722,13.6,9,52,,,,,,,,,,,,,,,
4037235,Greg Dortch,WR,2018,wake-forest-demon-deacons,receiving,89,"1,078",12.1,8,54,,,,,,,,,,,,,,,
4037235,Greg Dortch,WR,2017,wake-forest-demon-deacons,rushing,,,,,,7,9,1.3,0,6,,,,,,,,,,
4037235,Greg Dortch,WR,2018,wake-forest-demon-deacons,rushing,,,,,,5,20,4.0,0,11,,,,,,,,,,
4037235,Greg Dortch,WR,2017,wake-forest-demon-deacons,passing,,,,,,,,,,,0,1,0.0,0,0.0,0,0,0,0,0.0
4360739,Simi Fehoko,WR,2018,stanford-cardinal,receiving,1,6,6.0,0,6,,,,,,,,,,,,,,,
4360739,Simi Fehoko,WR,2019,stanford-cardinal,receiving,24,566,23.6,6,79,,,,,,,,,,,,,,,
4360739,Simi Fehoko,WR,2020,stanford-cardinal,receiving,37,574,15.5,3,47,,,,,,,,,,,,,,,
4360739,Simi Fehoko,WR,2020,stanford-cardinal,rushing,,,,,,1,-1,-1.0,0,0,,,,,,,,,,
4432708,Marvin Harrison Jr.,WR,2021,ohio-state-buckeyes,receiving,11,139,12.6,3,25,,,,,,,,,,,,,,,
4432708,Marvin Harrison Jr.,WR,2022,ohio-state-buckeyes,receiving,77,"1,263",16.4,14,58,,,,,,,,,,,,,,,
4432708,Marvin Harrison Jr.,WR,2023,ohio-state-buckeyes,receiving,67,"1,211",18.1,14,75,,,,,,,,,,,,,,,
4432708,Marvin Harrison Jr.,WR,2022,ohio-state-buckeyes,rushing,,,,,,2,32,16.0,0,18,,,,,,,,,,
4432708,Marvin Harrison Jr.,WR,2023,ohio-state-buckeyes,rushing,,,,,,2,26,13.0,1,19,,,,,,,,,,
4427728,Bam Knight,RB,2019,nc-state-wolfpack,rushing,,,,,,136,745,5.5,5,53,,,,,,,,,,
4427728,Bam Knight,RB,2020,nc-state-wolfpack,rushing,,,,,,143,788,5.5,10,36,,,,,,,,,,
4427728,Bam Knight,RB,2021,nc-state-wolfpack,rushing,,,,,,140,753,5.4,3,46,,,,,,,,,,
4427728,Bam Knight,RB,2019,nc-state-wolfpack,receiving,7,45,6.4,0,16,,,,,,,,,,,,,,,
4427728,Bam Knight,RB,2020,nc-state-wolfpack,receiving,20,136,6.8,0,27,,,,,,,,,,,,,,,
4427728,Bam Knight,RB,2021,nc-state-wolfpack,receiving,21,156,7.4,0,38,,,,,,,,,,,,,,,
3917315,Kyler Murray,QB,2015,texas-am-aggies,passing,,,,,,,,,,,72,121,59.5,686,5.7,5,7,26,8,109.2
